# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# RPS (Dec. 3048/99), Anexo V, vigente até 31/05/2007. Códigos CNAE 1.0.
# grau 1 = risco leve (1%), 2 = médio (2%), 3 = grave (3%) — do próprio
# cabeçalho do original, p400. Os títulos de divisão e grupo (sem grau)
# não entram: a linha de dado é a que tem grau de risco.
pagina_pdf,item,codigo_cnae,codigo_no_original,descricao_atividade,grau_risco,aliquota_pct
409,18.8.1,36.11-0,,fabricação de móveis com predominância de madeira,3,"3,00"
409,18.8.1,36.12-9,,fabricação de móveis com predominância de metal,3,"3,00"
409,18.8.1,36.13-7,,fabricação de móveis de outros materiais,3,"3,00"
409,18.8.1,36.14-5,,fabricação de colchões,3,"3,00"
409,18.8.1,36.91-9,,"lapidação de pedras preciosas e semi-preciosas, fabricação de artefatos de ourivesaria e joalheria",3,"3,00"
409,18.8.1,36.92-7,,fabricação de instrumentos musicais,2,"2,00"
409,18.8.1,36.93-5,,"fabricação de artefatos para caça, pesca e esporte",3,"3,00"
409,18.8.1,36.94-3,,fabricação de brinquedos e de jogos recreativos,2,"2,00"
409,18.8.1,36.95-1,,"fabricação de canetas, lápis, fitas impressoras para máquinas e outros artigos para escritório",3,"3,00"
409,18.8.1,36.96-0,,fabricação de aviamentos para costura,3,"3,00"
409,18.8.1,36.97-8,,"fabricação de escovas, pincéis e vassouras",2,"2,00"
409,18.8.1,36.99-4,,fabricação de produtos diversos,2,"2,00"
409,18.8.1,37.10-9,,reciclagem de sucatas metálicas,3,"3,00"
409,18.8.1,37.20-6,,reciclagem de sucatas não-metálicas,3,"3,00"
409,18.8.1,40.10-0,,produção e distribuição de energia elétrica,3,"3,00"
409,18.8.1,40.20-7,,produção e distribuição de gás através de tubulações,3,"3,00"
409,18.8.1,40.30-4,,produção e distribuição de vapor e água quente,3,"3,00"
409,18.8.1,41.00-9,,"captação, tratamento e distribuição de água",3,"3,00"
409,18.8.1,45.11-0,,demolição e preparação do terreno,3,"3,00"
409,18.8.1,45.12-8,,perfurações e execução de fundações destinados à construção civil,3,"3,00"
409,18.8.1,45.13-6,,grandes movimentações de terra,3,"3,00"
409,18.8.1,45.21-7,,"edificações (residenciais, industriais, comerciais e de serviços) - inclusive ampliação e reformas completas",3,"3,00"
409,18.8.1,45.22-5,,obras viárias - inclusive manutenção,3,"3,00"
409,18.8.1,45.23-3,,grandes estruturas e obras de arte,3,"3,00"
409,18.8.1,45.24-1,,obras de urbanização e paisagismo,3,"3,00"
409,18.8.1,45.25-0,,montagens industriais,3,"3,00"
409,18.8.1,45.29-2,,obras de outros tipos,3,"3,00"
410,18.8.1,45.31-4,,construção de barragens e represas para geração de energia elétrica,3,"3,00"
410,18.8.1,45.32-2,,construção de estações e redes de distribuição de energia elétrica,3,"3,00"
410,18.8.1,45.33-0,,construção de estações e redes de telefonia e comunicação,3,"3,00"
410,18.8.1,45.34-9,,construção de obras de prevenção e recuperação do meio ambiente,3,"3,00"
410,18.8.1,45.41-1,,instalações elétricas,3,"3,00"
410,18.8.1,45.42-0,,"instalações de sistemas de ar condicionado, de ventilação e refrigeração",3,"3,00"
410,18.8.1,45.43-8,,"instalações hidráulicas, sanitárias, de gás, de sistema de prevenção contra incêndio, de pára-raios, de segurança e alarme",3,"3,00"
410,18.8.1,45.49-7,,outras obras de instalações,3,"3,00"
410,18.8.1,45.51-9,,alvenaria e reboco,3,"3,00"
410,18.8.1,45.52-7,,impermeabilização e serviços de pintura em geral,3,"3,00"
410,18.8.1,45.59-4,,outros serviços auxiliares da construção,3,"3,00"
410,18.8.1,45.60-8,,aluguel de equipamentos de construção e demolição com operários,3,"3,00"
410,18.8.1,50.10-5,,comércio a varejo e por atacado de veículos automotores,2,"2,00"
410,18.8.1,50.20-2,,manutenção e reparação de veículos automotores,3,"3,00"
410,18.8.1,50.30-0,,comércio a varejo e por atacado de peças e acessórios para veículos automotores,2,"2,00"
410,18.8.1,50.41-5,,"comércio a varejo e por atacado de motocicletas, partes, peças e acessórios",2,"2,00"
410,18.8.1,50.42-3,,manutenção e reparação de motocicletas,3,"3,00"
410,18.8.1,50.50-4,,comércio a varejo de combustíveis,3,"3,00"
410,18.8.1,51.11-0,,"intermediários do comércio de matérias-primas agrícolas, animais vivos, matérias-primas têxteis e produtos semi-acabados",2,"2,00"
410,18.8.1,51.12-8,,"intermediários do comércio de combustíveis, minerais, metais e produtos químicos industriais",3,"3,00"
410,18.8.1,51.13-6,,"intermediários do comércio de madeira, material de construção e ferragens",3,"3,00"
410,18.8.1,51.14-4,,"intermediários do comércio de máquinas, equipamentos industriais, embarcações e aeronaves",2,"2,00"
410,18.8.1,51.15-2,,intermediários do comércio de móveis e artigos de uso doméstico,2,"2,00"
410,18.8.1,51.16-0,,"intermediários do comércio de têxteis, vestuário, calçados e artigos de couro",2,"2,00"
410,18.8.1,51.17-9,,"intermediários do comércio de produtos alimentícios, bebidas e fumo",2,"2,00"
410,18.8.1,51.18-7,,intermediários do comércio especializado em produtos não especificados anteriormente,2,"2,00"
410,18.8.1,51.19-5,,intermediários do comércio de mercadorias em geral (não especializados),2,"2,00"
410,18.8.1,51.21-7,,comércio atacadista de produtos agrícolas in natura; produtos alimentícios para animais,3,"3,00"
410,18.8.1,51.22-5,,comércio atacadista de animais vivos,3,"3,00"
410,18.8.1,51.31-4,,comércio atacadista de leite e produtos do leite,3,"3,00"
410,18.8.1,51.32-2,,"comércio atacadista de cereais beneficiados, farinhas, amidos e féculas",3,"3,00"
410,18.8.1,51.33-0,,comércio atacadista de hortifrutigranjeiros,3,"3,00"
410,18.8.1,51.34-9,,comércio atacadista de carnes e produtos da carne,3,"3,00"
410,18.8.1,51.35-7,,comércio atacadista de pescados,3,"3,00"
410,18.8.1,51.36-5,,comércio atacadista de bebidas,3,"3,00"
411,18.8.1,51.37-3,,comércio atacadista de produtos do fumo,3,"3,00"
411,18.8.1,51.39-0,,"comércio atacadista de outros produtos alimentícios, não especificados anteriormente",3,"3,00"
411,18.8.1,51.41-1,,"comércio atacadista de fios têxteis, tecidos, artefatos de tecidos e de armarinho",2,"2,00"
411,18.8.1,51.42-0,,comércio atacadista de artigos do vestuário e complementos,2,"2,00"
411,18.8.1,51.43-8,,comércio atacadista de calçados,2,"2,00"
411,18.8.1,51.44-6,,comércio atacadista de eletrodomésticos e outros equipamentos de usos pessoal e doméstico,2,"2,00"
411,18.8.1,51.45-4,,"comércio atacadista de produtos farmacêuticos, médicos, ortopédicos e odontológicos",2,"2,00"
411,18.8.1,51.46-2,,comércio atacadista de cosméticos e produtos de perfumaria,2,"2,00"
411,18.8.1,51.47-0,,"comércio atacadista de artigos de escritório e de papelaria; papel, papelão e seus artefatos; livros, jornais e outras publicações",2,"2,00"
411,18.8.1,51.49-7,,"comércio atacadista de outros artigos de usos pessoal e doméstico, não especificados anteriormente",2,"2,00"
411,18.8.1,51.51-9,,comércio atacadista de combustíveis,3,"3,00"
411,18.8.1,51.52-7,,comércio atacadista de produtos extrativos de origem mineral,3,"3,00"
411,18.8.1,51.53-5,,"comércio atacadista de madeira, material de construção, ferragens e ferramentas",3,"3,00"
411,18.8.1,51.54-3,,comércio atacadista de produtos químicos,3,"3,00"
411,18.8.1,51.55-1,,comércio atacadista de resíduos e sucatas,3,"3,00"
411,18.8.1,51.59-4,,"comércio atacadista de outros produtos intermediários não agropecuários, não especificados anteriormente",3,"3,00"
411,18.8.1,51.61-6,,"comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário",2,"2,00"
411,18.8.1,51.62-4,,comércio atacadista de máquinas e equipamentos para o comércio,2,"2,00"
411,18.8.1,51.63-2,,comércio atacadista de máquinas e equipamentos para escritório,2,"2,00"
411,18.8.1,51.69-1,,"comércio atacadista de máquinas, aparelhos e equipamentos para usos industrial, técnico e profissional e outros usos, não especificados anteriormente",2,"2,00"
411,18.8.1,51.91-8,,comércio atacadista de mercadorias em geral ( não especializado ),3,"3,00"
411,18.8.1,51.92-6,,comércio atacadista especializado em mercadorias não especificadas anteriormente,3,"3,00"
411,18.8.1,52.11-6,,"comércio varejista de mercadorias em geral, com predominância de produtos alimentícios, com área de venda superior a 5000 metros quadrados - hipermercados",2,"2,00"
411,18.8.1,52.12-4,,"comércio varejista de mercadorias em geral, com predominância de produtos alimentícios, com área de venda entre 300 e 5000 metros quadrados - supermercados",2,"2,00"
411,18.8.1,52.13-2,,"comércio varejista de mercadorias em geral, com predominância de produtos alimentícios, com área de venda inferior a 300 metros quadrados - exclusive lojas de conveniência",2,"2,00"
411,18.8.1,52.14-0,,"comércio varejista de mercadorias em geral, com predominância de produtos alimentícios industrializados - lojas de conveniência",2,"2,00"
411,18.8.1,52.15-9,,"comércio varejista não especializado, sem predominância de produtos alimentícios",2,"2,00"
411,18.8.1,52.21-3,,"comércio varejista de produtos de padaria, de laticínio, frios e conservas",2,"2,00"
411,18.8.1,52.22-1,,"comércio varejista de doces, balas, bombons, confeitos e semelhantes",2,"2,00"
411,18.8.1,52.23-0,,comércio varejista de carnes - açougues,3,"3,00"
411,18.8.1,52.24-8,,comércio varejista de bebidas,2,"2,00"
411,18.8.1,52.29-9,,comércio varejista de outros produtos alimentícios não especificados anteriormente e de produtos do fumo,2,"2,00"
411,18.8.1,52.31-0,,comércio varejista de tecidos e artigos de armarinho,1,"1,00"
411,18.8.1,52.32-9,,comércio varejista de artigos do vestuário e complementos,1,"1,00"
411,18.8.1,52.33-7,,"comércio varejista de calçados, artigos de couro e viagem",1,"1,00"
411,18.8.1,52.41-8,,"comércio varejista de produtos farmacêuticos, artigos médicos e ortopédicos, de perfumaria e cosméticos",1,"1,00"
411,18.8.1,52.42-6,,"comércio varejista de máquinas e aparelhos de usos doméstico e pessoal, discos e instrumentos musicais",2,"2,00"
411,18.8.1,52.43-4,,"comércio varejista de móveis, artigos de iluminação e outros artigos para residência",2,"2,00"
411,18.8.1,52.44-2,,"comércio varejista de material de construção, ferragens, ferramentas manuais e produtos metalúrgicos; vidros, espelhos e vitrais; tintas e madeiras",2,"2,00"
411,18.8.1,52.45-0,,comércio varejista de equipamentos e materiais para escritório; informática e comunicação,2,"2,00"
411,18.8.1,52.46-9,,"comércio varejista de livros, jornais, revistas e papelaria",1,"1,00"
411,18.8.1,52.47-7,,comércio varejista de gás liquefeito de petróleo ( g.l.p. ),3,"3,00"
412,18.8.1,52.49-3,,comércio varejista de outros produtos não especificados anteriormente,2,"2,00"
412,18.8.1,52.50-7,,"comércio varejista de artigos usados, em lojas",2,"2,00"
412,18.8.1,52.61-2,,"comércio varejista de artigos em geral, por catálogo ou por pedidos pelo correio",2,"2,00"
412,18.8.1,52.69-8,,"comércio varejista realizado em vias públicas, postos móveis, através de máquinas automáticas e a domicílio",2,"2,00"
412,18.8.1,52.71-0,,reparação e manutenção de máquinas e de aparelhos eletrodomésticos,2,"2,00"
412,18.8.1,52.72-8,,reparação de calçados,2,"2,00"
412,18.8.1,52.79-5,,reparação de outros objetos pessoais e domésticos,2,"2,00"
412,18.8.1,55.11-5,,"estabelecimentos hoteleiros, com restaurante",2,"2,00"
412,18.8.1,55.12-3,,"estabelecimentos hoteleiros, sem restaurante",2,"2,00"
412,18.8.1,55.19-0,,outros tipos de alojamento,2,"2,00"
412,18.8.1,55.21-2,,"restaurantes e estabelecimentos de bebidas, com serviço completo",2,"2,00"
412,18.8.1,55.22-0,,lanchonetes e similares,2,"2,00"
412,18.8.1,55.23-9,,cantinas (serviços de alimentação privativos),2,"2,00"
412,18.8.1,55.24-7,,fornecimento de comida preparada,2,"2,00"
412,18.8.1,55.29-8,,outros serviços de alimentação,2,"2,00"
412,18.8.1,60.10-0,,transporte ferroviário interurbano,3,"3,00"
412,18.8.1,60.21-6,,"transporte ferroviário de passageiros, urbano",3,"3,00"
412,18.8.1,60.22-4,,transporte metroviário,3,"3,00"
412,18.8.1,60.23-2,,"transporte rodoviário de passageiros, regular, urbano",3,"3,00"
412,18.8.1,60.24-0,,"transporte rodoviário de passageiros, regular, não urbano",3,"3,00"
412,18.8.1,60.25-9,,"transporte rodoviário de passageiros, não regular",3,"3,00"
412,18.8.1,60.26-7,,transporte rodoviário de cargas em geral,3,"3,00"
412,18.8.1,60.27-5,,transporte rodoviário de produtos perigosos,3,"3,00"
412,18.8.1,60.28-3,,transporte rodoviário de mudanças,3,"3,00"
412,18.8.1,60.29-1,,"transporte regular em bondes, funiculares, teleféricos ou trens próprios para exploração de pontos turísticos",3,"3,00"
412,18.8.1,60.30-5,,transporte dutoviário,3,"3,00"
412,18.8.1,61.11-5,,transporte marítimo de cabotagem,3,"3,00"
412,18.8.1,61.12-3,,transporte marítimo de longo curso,3,"3,00"
412,18.8.1,61.21-2,,transporte por navegação interior de passageiros,3,"3,00"
412,18.8.1,61.22-0,,transporte por navegação interior de carga,3,"3,00"
412,18.8.1,61.23-9,,transporte aquaviário urbano,3,"3,00"
412,18.8.1,62.10-3,,"transporte aéreo, regular",2,"2,00"
413,18.8.1,62.20-0,,"transporte aéreo, não regular",2,"2,00"
413,18.8.1,62.30-8,,transporte espacial .......................................................................................................................................... - 63 atividades anexas e auxiliares do transporte e agências de viagem 63.1 movimentação e armazenamento de cargas 63.11-8 carga e descarga,3,"3,00"
413,18.8.1,63.12-6,,armazenamento e depósitos de cargas,3,"3,00"
413,18.8.1,63.21-5,,atividades auxiliares aos transportes terrestres,3,"3,00"
413,18.8.1,63.22-3,,atividades auxiliares aos transportes aquaviários,3,"3,00"
413,18.8.1,63.23-1,,atividades auxiliares aos transportes aéreos,3,"3,00"
413,18.8.1,63.30-4,,atividades de agências de viagens e organizadores de viagem,2,"2,00"
413,18.8.1,63.40-1,,atividades relacionadas à organização do transporte de cargas,2,"2,00"
413,18.8.1,64.11-4,,atividades de correio nacional,1,"1,00"
413,18.8.1,64.12-2,,outras atividades de correio,2,"2,00"
413,18.8.1,64.20-3,,telecomunicações,1,"1,00"
413,18.8.1,65.10-2,,banco central,1,"1,00"
413,18.8.1,65.21-8,,bancos comerciais,1,"1,00"
413,18.8.1,65.22-6,,bancos múltiplos (com carteira comercial),1,"1,00"
413,18.8.1,65.23-4,,caixas econômicas,1,"1,00"
413,18.8.1,65.24-2,,cooperativas de crédito,1,"1,00"
413,18.8.1,65.31-5,,bancos múltiplos (sem carteira comercial),1,"1,00"
413,18.8.1,65.32-3,,bancos de investimento,1,"1,00"
413,18.8.1,65.33-1,,bancos de desenvolvimento,1,"1,00"
413,18.8.1,65.34-0,,crédito imobiliário,1,"1,00"
413,18.8.1,65.35-8,,"sociedades de crédito, financiamento e investimento",1,"1,00"
413,18.8.1,65.40-4,,arrendamento mercantil,1,"1,00"
413,18.8.1,65.51-0,,agências de desenvolvimento,1,"1,00"
413,18.8.1,65.59-5,,outras atividades de concessão de crédito,1,"1,00"
413,18.8.1,65.91-9,,fundos mútuos de investimento,1,"1,00"
413,18.8.1,65.92-7,,sociedades de capitalização,1,"1,00"
413,18.8.1,65.99-4,,"outras atividades de intermediação financeira, não especificadas anteriormente",1,"1,00"
414,18.8.1,66.11-7,,seguros de vida,1,"1,00"
414,18.8.1,66.12-5,,seguros não-vida,1,"1,00"
414,18.8.1,66.13-3,,resseguros,1,"1,00"
414,18.8.1,66.21-4,,previdência privada fechada,1,"1,00"
414,18.8.1,66.22-2,,previdência privada aberta,1,"1,00"
414,18.8.1,66.30-3,,planos de saúde,1,"1,00"
414,18.8.1,67.11-3,,administração de mercados bursáteis,2,"2,00"
414,18.8.1,67.12-1,,atividades de intermediários em transações de títulos e valores mobiliários,2,"2,00"
414,18.8.1,67.19-9,,"outras atividades auxiliares da intermediação financeira, não especificadas anteriormente",2,"2,00"
414,18.8.1,67.20-2,,atividades auxiliares dos seguros e da previdência privada,1,"1,00"
414,18.8.1,70.10-6,,incorporação de imóveis por conta própria,1,"1,00"
414,18.8.1,70.20-3,,aluguel de imóveis,1,"1,00"
414,18.8.1,70.31-9,,incorporação de imóveis por conta de terceiros,1,"1,00"
414,18.8.1,70.32-7,,administração de imóveis por conta de terceiros,1,"1,00"
414,18.8.1,70.40-8,,condomínios prediais,2,"2,00"
414,18.8.1,71.10-2,,aluguel de automóveis,2,"2,00"
414,18.8.1,71.21-8,,aluguel de outros meios de transporte terrestre,2,"2,00"
414,18.8.1,71.22-6,,aluguel de embarcações,2,"2,00"
414,18.8.1,71.23-4,,aluguel de aeronaves,2,"2,00"
414,18.8.1,71.31-5,,aluguel de máquinas e equipamentos agrícolas,2,"2,00"
414,18.8.1,71.32-3,,aluguel de máquinas e equipamentos para construção e engenharia civil,2,"2,00"
414,18.8.1,71.33-1,,aluguel de máquinas e equipamentos para escritórios,2,"2,00"
414,18.8.1,71.39-0,,"aluguel de máquinas e equipamentos de outros tipos, não especificados anteriormente",2,"2,00"
414,18.8.1,71.40-4,,aluguel de objetos pessoais e domésticos,1,"1,00"
414,18.8.1,72.10-9,,consultoria em sistemas de informática,1,"1,00"
414,18.8.1,72.20-6,,desenvolvimento de programas de informática,2,"2,00"
415,18.8.1,72.30-3,,processamento de dados,2,"2,00"
415,18.8.1,72.40-0,,atividades de banco de dados,2,"2,00"
415,18.8.1,72.50-8,,manutenção e reparação de máquinas de escritório e de informática,2,"2,00"
415,18.8.1,72.90-7,,"outras atividades de informática, não especificadas anteriormente",2,"2,00"
415,18.8.1,73.10-5,,pesquisa e desenvolvimento das ciências físicas e naturais,2,"2,00"
415,18.8.1,73.20-2,,pesquisa e desenvolvimento das ciências sociais e humanas,1,"1,00"
415,18.8.1,74.11-0,,atividades jurídicas,1,"1,00"
415,18.8.1,74.12-8,,atividades de contabilidade e auditoria,1,"1,00"
415,18.8.1,74.13-6,74 .13-6,pesquisas de mercado e de opinião pública,1,"1,00"
415,18.8.1,74.14-4,,gestão de participações societárias (holdings),1,"1,00"
415,18.8.1,74.15-2,,sedes de empresas e unidades administrativas locais,1,"1,00"
415,18.8.1,74.16-0,,atividades de assessoria em gestão empresarial,1,"1,00"
415,18.8.1,74.20-9,,serviços de arquitetura e engenharia e de assessoramento técnico especializado,2,"2,00"
415,18.8.1,74.30-6,,ensaios de materiais e de produtos; análise de qualidade,2,"2,00"
415,18.8.1,74.40-3,,publicidade,2,"2,00"
415,18.8.1,74.50-0,,"seleção, agenciamento e locação de mão-de-obra para serviços temporários",2,"2,00"
415,18.8.1,74.60-8,,"atividades de investigação, vigilância e segurança",3,"3,00"
415,18.8.1,74.70-5,,atividades de limpeza em prédios e domicílios,2,"2,00"
415,18.8.1,74.91-8,,atividades fotográficas,2,"2,00"
415,18.8.1,74.92-6,,"atividades de envasamento e empacotamento, por conta de terceiros",2,"2,00"
415,18.8.1,74.99-3,,"outras atividades de serviços prestados principalmente às empresas, não especificadas anteriormente",2,"2,00"
415,18.8.1,75.11-6,,administração pública em geral,1,"1,00"
415,18.8.1,75.12-4,,regulação das atividades sociais e culturais,1,"1,00"
415,18.8.1,75.13-2,,regulação das atividades econômicas,1,"1,00"
415,18.8.1,75.14-0,,atividades de apoio à administração pública,1,"1,00"
415,18.8.1,75.21-3,,relações exteriores,1,"1,00"
416,18.8.1,75.22-1,,defesa,2,"2,00"
416,18.8.1,75.23-0,,justiça,2,"2,00"
416,18.8.1,75.24-8,,segurança e ordem pública,2,"2,00"
416,18.8.1,75.25-6,,defesa civil,2,"2,00"
416,18.8.1,75.30-2,,seguridade social,1,"1,00"
416,18.8.1,80.11-0,,educação pré-escolar,1,"1,00"
416,18.8.1,80.12-8,,educação fundamental,1,"1,00"
416,18.8.1,80.21-7,,educação média de formação geral,1,"1,00"
416,18.8.1,80.22-5,,educação média de formação técnica e profissional,1,"1,00"
416,18.8.1,80.30-6,,educação superior,1,"1,00"
416,18.8.1,80.91-8,,ensino em auto-escolas e cursos de pilotagem,3,"3,00"
416,18.8.1,80.92-6,,educação supletiva,1,"1,00"
416,18.8.1,80.93-4,,educação continuada ou permanente e aprendizagem profissional,1,"1,00"
416,18.8.1,80.94-2,,ensino à distância,1,"1,00"
416,18.8.1,80.95-0,,educação especial,1,"1,00"
416,18.8.1,85.11-1,,atividades de atendimento hospitalar,2,"2,00"
416,18.8.1,85.12-0,,atividades de atendimento a urgências e emergências,2,"2,00"
416,18.8.1,85.13-8,,atividades de atenção ambulatorial,2,"2,00"
416,18.8.1,85.14-6,,atividades de serviços de complementação diagnóstica ou terapêutica,2,"2,00"
416,18.8.1,85.15-4,,atividades de outros profissionais da área de saúde,1,"1,00"
416,18.8.1,85.16-2,,outras atividades relacionadas com a atenção à saúde,2,"2,00"
416,18.8.1,85.20-0,,serviços veterinários,2,"2,00"
416,18.8.1,85.31-6,,serviços sociais com alojamento,1,"1,00"
416,18.8.1,85.32-4,,serviços sociais sem alojamento,1,"1,00"
416,18.8.1,90.00-0,,limpeza urbana e esgoto e atividades conexas,3,"3,00"
416,18.8.1,91.11-1,,atividades de organizações empresariais e patronais,1,"1,00"
416,18.8.1,91.12-0,,atividades de organizações profissionais,1,"1,00"
416,18.8.1,91.20-0,,atividades de organizações sindicais,1,"1,00"
416,18.8.1,91.91-0,,atividades de organizações religiosas,1,"1,00"
416,18.8.1,91.92-8,,atividades de organizações políticas,1,"1,00"
416,18.8.1,91.99-5,,"outras atividades associativas, não especificadas anteriormente",1,"1,00"
417,18.8.1,92.11-8,,produção de filmes cinematográficos e fitas de vídeo,2,"2,00"
417,18.8.1,92.12-6,,distribuição de filmes e de vídeos,2,"2,00"
417,18.8.1,92.13-4,,projeção de filmes e de vídeos,2,"2,00"
417,18.8.1,92.21-5,,atividades de rádio,1,"1,00"
417,18.8.1,92.22-3,,atividades de televisão,1,"1,00"
417,18.8.1,92.31-2,,"atividades de teatro, música e outras atividades artísticas e literárias",1,"1,00"
417,18.8.1,92.32-0,,gestão de salas de espetáculos,1,"1,00"
417,18.8.1,92.39-8,,"outras atividades de espetáculos, não especificadas anteriormente",2,"2,00"
417,18.8.1,92.40-1,,atividades de agências de notícias,2,"2,00"
417,18.8.1,92.51-7,,atividades de bibliotecas e arquivos,2,"2,00"
417,18.8.1,92.52-5,,atividades de museus e conservação do patrimônio histórico,2,"2,00"
417,18.8.1,92.53-3,,"atividades de jardins botânicos, zoológicos, parques nacionais e reservas ecológicas",3,"3,00"
417,18.8.1,92.61-4,,atividades desportivas,2,"2,00"
417,18.8.1,92.62-2,,outras atividades relacionadas ao lazer,2,"2,00"
417,18.8.1,93.01-7,,lavanderias e tinturarias,2,"2,00"
417,18.8.1,93.02-5,,cabeleireiros e outros tratamentos de beleza,1,"1,00"
417,18.8.1,93.03-3,,atividades funerárias e conexas,2,"2,00"
417,18.8.1,93.04-1,,atividades de manutenção do físico corporal,2,"2,00"
417,18.8.1,93.09-2,,"outras atividades de serviços pessoais, não especificadas anteriormente",2,"2,00"
